custAge,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,profession__admin.,profession__services,profession__blue.collar,profession__entrepreneur,profession__technician,profession__retired,profession__housemaid,profession__student,profession__unknown,profession__unemployed,profession__self.employed,profession__management,marital__single,marital__divorced,marital__married,marital__unknown,schooling__university.degree,schooling__high.school,schooling__professional.course,schooling__basic.4y,schooling__unknown,schooling__basic.9y,schooling__basic.6y,schooling__illiterate,default__no,default__unknown,default__yes,housing__no,housing__yes,housing__unknown,loan__yes,loan__no,loan__unknown,contact__cellular,contact__telephone,month__apr,month__jul,month__jun,month__oct,month__aug,month__may,month__nov,month__mar,month__sep,month__dec,day_of_week__wed,day_of_week__thu,day_of_week__tue,day_of_week__fri,day_of_week__mon,poutcome__nonexistent,poutcome__failure,poutcome__success
34.0,2,999,0,-1.8,93.075,-47.1,1.498,5099.1,999.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1,0,0
31.0,35,999,0,1.4,93.918,-42.7,4.968,5228.1,999.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1,0,0
52.0,2,999,0,1.4,93.918,-42.7,4.962,5228.1,999.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1,0,0
41.0,2,999,0,-3.4,92.431,-26.9,0.741,5017.5,999.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1,0,0
23.0,10,999,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1,0,0
29.0,3,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0,0
33.0,4,999,0,1.4,93.918,-42.7,4.96,5228.1,999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0,0
38.0,1,999,1,-1.8,92.893,-46.2,1.313,5099.1,999.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,1,0
37.0,3,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0,0
33.0,2,999,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1,0,0
39.0,1,999,1,-1.8,93.075,-47.1,1.445,5099.1,999.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0
27.0,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,999.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1,0,0
24.0,2,999,2,-1.8,93.876,-40.0,0.682,5008.7,999.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,1,0
35.0,3,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1,0,0
39.0,9,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1,0,0
53.0,1,999,0,-1.8,92.893,-46.2,1.281,5099.1,999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1,0,0
52.0,2,999,1,-1.8,93.075,-47.1,1.435,5099.1,999.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0
34.0,1,999,0,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1,0,0
34.0,1,999,0,1.4,93.444,-36.1,4.964,5228.1,999.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1,0,0
51.0,1,999,0,-0.1,93.2,-42.0,4.153,5195.8,999.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1,0,0
28.0,3,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1,0,0
41.0,1,999,0,-1.8,93.075,-47.1,1.415,5099.1,999.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1,0,0
52.0,1,999,0,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1,0,0
